Image Name,Results
SOB_B_A-14-22549AB-40-001.png,B
SOB_B_A-14-22549AB-40-002.png,B
SOB_B_A-14-22549AB-40-003.png,B
SOB_B_A-14-22549AB-40-004.png,B
SOB_B_A-14-22549AB-40-005.png,B
SOB_B_A-14-22549AB-40-006.png,B
SOB_B_A-14-22549AB-40-007.png,B
SOB_B_A-14-22549AB-40-008.png,M
SOB_B_A-14-22549AB-40-009.png,B
SOB_B_A-14-22549AB-40-010.png,B
SOB_B_A-14-22549AB-40-011.png,B
SOB_B_A-14-22549AB-40-012.png,M
SOB_B_A-14-22549AB-40-013.png,M
SOB_B_A-14-22549AB-40-014.png,B
SOB_B_A-14-22549AB-40-015.png,B
SOB_B_A-14-22549AB-40-016.png,B
SOB_B_A-14-22549AB-40-017.png,B
SOB_B_A-14-22549AB-40-018.png,B
SOB_B_A-14-22549AB-40-019.png,M
SOB_B_A-14-22549AB-40-020.png,M
SOB_B_A-14-22549AB-40-021.png,B
SOB_B_A-14-22549AB-40-022.png,M
SOB_B_A-14-22549AB-40-023.png,B
SOB_B_A-14-22549AB-40-024.png,B
SOB_B_A-14-22549AB-40-025.png,B
SOB_B_A-14-22549AB-40-026.png,M
SOB_B_A-14-22549AB-40-027.png,B
SOB_B_A-14-22549AB-40-028.png,B
SOB_B_A-14-22549AB-40-029.png,M
